RecipeID,Recipe Name,Ingredients,Directions,Rate
7260,Italian Cream Cake I Recipe ,"butter,egg,baking soda,flour,egg,white sugar,buttermilk,walnut,coconut,cream cheese,butter,sugar,vanilla,walnut","'Cream together 1 cup butter or margarine, egg yolks, and 2 cups white sugar.  Alternately mix in flour and buttermilk.   Add baking soda.  Mix in 1 cup walnuts and coconut.**Beat egg whites, and fold into batter.  Pour batter into three greased and floured 9 inch round cake pans.**Bake for 20 to 25 minutes in a preheated 350 degrees F (175 degrees C) oven.**Combine cream cheese, 1/2 cup butter or margarine, confectioners'' sugar, and vanilla extract.  Spread onto cooled cake. Top iced cake with chopped walnuts.**'",5
7261,Texas Sheet Cake I Recipe ,"butter,water,cocoa powder,flour,white sugar,salt,egg,sour cream,baking soda,butter,cocoa powder,milk,sugar,vanilla,walnut","'Preheat oven to 375 degrees F (190 degrees C). Grease a 15x10 inch jelly roll pan.**Bring 1 cup butter, water and 4 tablespoons cocoa to a boil in a large saucepan. While still hot, remove from heat and add 2 cups flour, 2 cups white sugar, and salt. Mix well. Beat in eggs, sour cream, and baking soda.  Do not beat too long.**Pour batter into greased 15x10 inch jelly roll pan. Bake at 375 degrees F (190 degrees C) for 20 to 25 minutes, or until a toothpick inserted into center of cake comes out clean.**To Make Icing:   Bring 1/2 cup butter or margarine, 4 tablespoons cocoa and  5 tablespoons milk to a boil. Remove from heat. While still hot, add confectioners'' sugar vanilla and nuts. Beat well. Ice cake while icing is still hot.**'",5
7262,Streusel Coffee Cake Recipe ,"butter,white sugar,egg,sour cream,vanilla,flour,baking powder,baking soda,white sugar,cinnamon,walnut","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10 inch Bundt pan. In a medium bowl, mix the flour, baking powder and baking soda together and set aside. In a separate small bowl, combine 1/2 cup sugar, cinnamon, and nuts. Set aside.**In a large bowl, cream butter and 2 cups white sugar until light and fluffy. Add eggs, sour cream, and vanilla extract. Add flour mixture and beat until well combined.**Pour half of batter into Bundt pan. Sprinkle half of the nut mixture on top of batter in pan. Add remaining batter, and sprinkle with the last of the nut mixture.**Bake at 350 degrees F (175 degrees C) for 45  to 60 minutes, or until  a toothpick inserted into cake comes out clean.**",4
7263,Boiled Raisin Cake I Recipe ,"raisin,water,vegetable oil,water,white sugar,flour,cinnamon,clove,nutmeg,baking soda,salt","Boil raisins in 2 cups of water for 15 minutes.  Remove from heat.**Add vegetable oil and cold water to the raisins.**Mix sugar, flour, spices,  baking soda, and salt in a large bowl.**Add the raisin mixture, and stir till just mixed.**Pour into a greased and floured 9 x 13 inch baking pan, and bake for one hour in a preheated 350 degrees F (175 degrees C) oven. It is done if a toothpick comes out clean.**",4
7264,Waldorf Astoria Red Cake Recipe ,"shortening,white sugar,egg,food coloring,flour,salt,vanilla,cocoa powder,vinegar,buttermilk,baking soda,flour,milk,sugar,butter,vanilla","'Cream together the shortening, sugar, and eggs.**Make a paste with food coloring and cocoa. Add to shortening mixture.**Add salt and buttermilk to mixture.**Next add flour, vanilla, vinegar, and baking soda in that order. Mix.**Bake for 30 minutes at 350 degrees F (175 degrees C) in two 8 inch round greased and floured cake pans.  Let cool.**To Make Frosting: Cook 5 tablespoons flour and 1 cup milk until thick, and then cool.**Cream together 1 cup confectioners'' sugar, 1 cup butter or margarine and 1 teaspoon vanilla ''til fluffy.  Add to flour mixture.**Cut layers of cake in half lengthwise. Spread frosting on each half layer. Stack and frost over all.**'",4
7266,Cocoa Apple Cake Recipe ,"egg,white sugar,butter,water,flour,cocoa powder,baking soda,cinnamon,spice,chocolate,apple,vanilla","Cream together until fluffy the eggs, sugar, butter or margarine, and water.**In another bowl, sift together the flour, cocoa, baking soda, and spices.**Add dry ingredients to creamed mixture and mix well.**Fold in chocolate chips, apple, and vanilla extract. Stir until these ingredients are evenly distributed.**Spoon into greased, floured 10 inch bundt or loose bottom tube pan.**Bake at 325 degrees F (165 degrees C) for 60 to 70 minutes until cake tests done.**",4
7267,Best Cheesecake on Earth Recipe ,"ricotta,cream cheese,white sugar,egg,flour,sour cream,vanilla","Preheat oven to 325 degrees F (165 degrees C.) Wrap the outside bottom of a 10 inch springform pan with foil to prevent water seeping in while baking.**Cream together ricotta cheese, cream cheese and sugar until smooth.  Mix in the eggs one at a time.  Add flour one tablespoon at a time, mixing well. Stir in the sour cream and vanilla. Pour mixture into a 10 inch springform pan.**Place cheesecake in a large rectangular pan filled with 2 inches of hot water. Carefully put into preheated oven without spilling water. Bake for 90 minutes.**After 90 minutes turn oven off, but leave the cake in the oven for another 60 minutes (do not open door).**Cool on counter for 60 minutes and then refrigerate. Serve when thoroughly chilled.**",4
7268,'Grandma Snyder''s Oatmeal Cake Recipe ',"oat,water,butter,white sugar,brown sugar,egg,flour,baking soda,salt,cinnamon,nutmeg,vanilla,butter,brown sugar,milk,coconut,walnut,vanilla","'Pour water over oats, let stand.**Cream 1/2 cup  butter or margarine and sugars.   Add eggs and blend in a large mixing bowl.   Sift the flour, baking soda, salt, cinnamon and nutmeg together.  Add to sugars and egg mixture.  Add vanilla and oats mixture, blend well.**Pour batter into a 9 x 13 inch pan.**Bake in a preheated 350 degrees F (175 degrees C) oven for 30-40 minutes.**To Make Icing:  Mix together 6 tablespoons melted butter, 1 1/2 cups brown sugar, 3/4 cup evaporated milk, coconuts, nuts, and 1 teaspoon vanilla.**Pour this coconut concoction over the hot cake.**Put cake under broiler, and watch close so nuts don''t burn, about 5-10 minutes.  Serve hot or let cool.  Enjoy.**'",5
7269,Fabulous Fudge Chocolate Cake Recipe ,"flour,baking soda,salt,butter,brown sugar,egg,vanilla,chocolate,sour cream,water,butter,brown sugar,milk,sugar","'Preheat oven to 350 degrees F (175 degrees C).**Sift together the flour, baking soda and salt.  Set aside.**In a large bowl, beat 1/2 cup butter or margarine and 2 1/2 cups brown sugar until well mixed.  Add eggs one at a time.   Beat in the vanilla and melted chocolate squares.  Add 1/2 the sour cream and then 1/2 the dry ingredients to the butter mixture until well blended.**Add the remaining sour cream and dry ingredients to the batter.  Stir in boiling water.**Bake in a greased 9 X 13 inch pan for 35 minutes.**Let cool 10 minutes before icing.**To Make Caramel Icing:   First melt 1/2 cup butter in a saucepan.  Stir in 1 cup brown sugar and boil  about 2 minutes.  Stir in 1/4 cup milk and bring to a boil.  Place pan in cold water and stir in the confectioners'' sugar.  Continue stirring until smooth.  Spread over still warm cake.**'",4
7270,No Bake Cheesecake I Recipe ,"ham,cookies,butter,white sugar,cream cheese,white sugar,lemon juice,whipping cream,strawberry","In a bowl, mix together crushed cookies and graham crackers with melted butter and the 3 tablespoons sugar.**Press into a 7 inch springform pan. Place in refrigerator until ready for use.**In another bowl, beat cream cheese, 1/3 cup of sugar and lemon juice.**Whip cream, and fold into cream cheese mixture.**Spread into pan.**Top with sliced strawberries (optional).   Freeze for 1 hour, covered with foil.**Place in refrigerator 30 minutes before serving.**",5
7271,Pumpkin Pie Cake I Recipe ,"pumpkin,milk,egg,white sugar,cinnamon,nutmeg,ginger,clove,cake,butter,walnut","Preheat oven to 350 degrees F (175 degrees C). Line a 9 x 13 inch pan with parchment paper.**In a large bowl, combine pumpkin, evaporated milk, eggs, sugar, cinnamon, nutmeg, ginger and cloves. Mix until smooth and pour into a 9x13 inch pan.**Sprinkle dry cake mix over pumpkin mixture, then sprinkle chopped nuts and pat down gently. Melt butter or margarine and drizzle over cake.**Bake at 350 degrees F (175 degrees C) for approximately 45 to 60 minutes.  (Be sure to check the cake after 45 minutes because oven temperatures vary.)**After cake cools, turn it upside down so the top of the cake will be the crust. Remove the parchment paper. Top with dessert topping (optional) before serving.**",4
7272,Awesome Carrot Cake with Cream Cheese Frosting Recipe ,"carrot,flour,white sugar,baking soda,baking powder,salt,cinnamon,egg,applesauce,vegetable oil,vanilla,pineapple,pecan,sugar,cheese,butter,vanilla,pecan","'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.**In a large bowl, combine grated carrots, flour, white sugar, baking soda, baking powder, salt and cinnamon. Stir in eggs, applesauce, oil, 1 1/4 teaspoon vanilla, pineapple and 3/4 cup chopped pecans. Spoon batter into prepared pan.**Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.**To Make Frosting:  In a medium bowl, combine confectioners'' sugar, Neufchatel cheese, 1/2 cup butter or margarine and 1 1/4 teaspoons vanilla. Beat until smooth, then stir in 1 cup chopped pecans. Spread on cooled cake.**'",5
7273,Chantilly Cake Frosting Recipe ,"milk,white sugar,egg,butter,vanilla,coconut,macadamia nut","Combine milk, sugar, egg yolks, butter and vanilla in a saucepan.**Cook on medium heat until thick, approximately 12 minutes. Stir constantly.**Remove from heat, and add coconut and macadamia nuts. Continue to stir until cool and thick enough to spread on your cake.**Frost. This will cover a 9x13 inch rectangular cake or a two 8 inch layer round cake.**",5
7274,Plum Bread Recipe ,"vegetable oil,egg,plum,white sugar,food coloring,flour,clove,cinnamon,nutmeg,salt,baking soda,nut,sugar,lemon juice","'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a bundt pan or loaf pans.**In a large bowl, mix together vegetable oil, white sugar, eggs, plum baby food, and food coloring. In a separate bowl, mix together flour, cloves, cinnamon, nutmeg, salt, baking soda, and nuts.**Mix wet and dry ingredients together. Transfer batter to prepared pan(s).**Bake in the preheated oven for 50-60 minutes or until a tester comes out clean. (Smaller loaf pans will take less time.)**Remove from oven to cool 10 minutes in pan. Remove and place on cooling rack.**While the cake is cooling, combine confectioners'' sugar and lemon juice. Brush over top while cake is still hot.**'",5
7275,'Mom''s Carrot Cake Recipe ',"carrot,flour,white sugar,baking soda,salt,egg,cinnamon,vegetable oil,vanilla,buttermilk,pineapple,coconut,walnut,cream cheese,butter,vanilla,sugar","'In a small saucepan, cover carrots with water. Bring water to a boil and cook until tender, about 15 minutes. Let cool and mash.**In a large mixing bowl, beat eggs.  Add vegetable oil, buttermilk, 2 cups white sugar and 2 teaspoons vanilla.  Add flour, baking soda, ground cinnamon and salt.   Mix in pineapple, 2 cups mashed carrots, nuts and coconut.**Pour into paper towel-lined 13 x 9 x 2-1/2 inch pan.**Bake at 350 degrees F (175 degrees C) for 55 minutes, or until cake tests done.**Place cake on a plate, and allow to cool completely before frosting.**To Make Frosting: Combine cream cheese, melted butter, 1 teaspoon vanilla extract, and confectioners'' sugar.  Spread on cooled cake.  Cake tastes best after refrigerating  overnight.**'",4
7276,Easy Lemon Cake Recipe ,"cake,lemon,vegetable oil,egg,water,lemon,sugar,lemon juice","'Combine gelatin mix and cake mix. Mix well.**Add next 4 ingredients - oil, eggs, water and lemon extract. Mix lightly.**Bake according to instructions on back of cake box.**To Make Frosting:  Combine confectioners'' sugar and lemon juice.**When cake is done, and while still hot, ice with frosting.**'",4
7277,French Buttercream Frosting Recipe ,"butter,shortening,sugar,vanilla,butter,whipping cream,flour","'Mix heavy cream and flour in a small bowl.  Heat the mixure in the microwave for 45 seconds on high.  Set aside to cool.**In a mixing bowl, combine butter, shortening, confectioner''s sugar, vanilla extract and butter extract.**Using and electric mixer, beat on low until combined. Then beat on medium speed for 6-8 minutes.**Next add the heavy cream mixture, and beat on medium speed for another 10 minutes. ( Mixture will appear soupy at first, but will become fluffy.)**'",4
7278,Brownie Torte Recipe ,"butter,corn syrup,chocolate,white sugar,egg,vanilla,flour,walnut,chocolate,butter,corn syrup,vanilla,strawberry","Butter and flour a 9 inch round cake pan.**In a pan over low heat, melt 1/2 cup butter and 1/2 cup light corn syrup.**Stir in 1 cup chocolate chips until melted.**Remove from heat and add sugar and eggs, and stir until blended.**Stir in 1 teaspoon vanilla , flour, and nuts.**Pour into pan. Bake at 350 degrees F (175 degrees C) for 30 minutes, or until center springs back when touched.**Cool in pan 10 minutes. Then place on a cooling rack.**To Make Glaze:   Combine chocolate chips, 2 tablespoons butter or margarine and corn syrup in pan. Stir over low heat till chocolate chips are melted. Remove from heat.  Stir in vanilla.**Frost tops and sides of torte.   Chill until set.  Garnish with sliced strawberries.**",5
7281,Chocolate Cherry Cake I Recipe ,"chocolate,cherry,egg,white sugar,butter,milk,chocolate","Combine cake mix, cherry pie filling, and three eggs.  Mix until well blended.**Bake in well greased and floured 9 x 13 pan. Bake at 350 degrees F (175 degrees C) for 35 to 40 minutes.**To Make Frosting:  Combine sugar, butter or margarine, and milk. Bring to a boil, stirring constantly, and cook 1 minute.**Remove from heat.**Stir in chocolate pieces until melted and smooth.**Frost when cake is cool.**",5
7285,Microwave Cake Recipe ,"cake,egg,apple,applesauce","Mix the box of cake mix, eggs, pie filling and applesauce  till moist. Use a microwave safe bundt pan or substitute a microwave safe bowl that has a microwave safe cup or cone placed in the middle of it (to mimic a bundt pan).  Pour mixture into the bowl around the cup.**Bake on high for 6 minutes 30 seconds,  turn and bake for another 6 minutes 30 seconds on high. Remove from oven and cover bowl with a dish and let stand for 5 minutes (this finishes the cooking process).**Turn cake over onto dish and remove cone (cup) for a delicious quick dessert. Good hot with vanilla ice cream or whipped topping.**",4
7286,Creme de Menthe Cake I Recipe ,"cake,liqueur,chocolate,topping thawed,liqueur","Prepare 1 box white cake mix as directed, except substitute 3 tablespoons Creme de Menthe flavoring or liqueur, for 3 tablespoons water.**Pour into 13x9 inch pan and bake according to package directions.**Remove from oven and while HOT, poke holes in cake with fork. Then pour chocolate syrup over the top. Refrigerate (or freeze, if desired).  After cooling, mix whipped topping with 2 tablespoons of creme de menthe and spread on cake. Keep refrigerated. Freezes great!!**",5
7287,Lick Your Lips Cake Recipe ,"cake,egg,orange,pineapple,topping thawed,vanilla","Mix cake mix, eggs, and mandarin oranges for 2-3 minutes at medium speed.**Bake for 30 minutes in a preheated 350 degrees F (175 degrees C) oven. Set aside and let cool completely.**Combine crushed pineapple, dessert topping, and vanilla pudding mix. Mix well.  Spread on top of cooled cake. Keep refrigerated.**",5
7288,Dump Cake I Recipe ,"cherry,pineapple,cake,walnut,butter","In a 9x13 inch pan mix cherries and pineapple.  Sprinkle dry cake mix over pineapple, and cherry mixture stir until just combined. Then sprinkle walnuts over top.  Drizzle top with melted butter or margarine.**Bake in a 350 degree F (175 degree C) oven for 35 or 40 minutes or until golden brown.**",4
7293,Quick Fudge Icing Recipe ,"white sugar,cocoa powder,milk,shortening,salt,vanilla","In a saucepan combine sugar, cocoa, milk, shortening, and salt. Bring mixture to a rolling boil, stirring constantly for 2 minutes.**Remove from heat and add vanilla and continue beating until frosting starts to thicken slightly. The frosting will be real creamy.**",4
7294,Chocolate Cherry Upside Down Cake Recipe ,"cherry,flour,white sugar,cocoa powder,baking soda,salt,water,vegetable oil,vinegar,vanilla","Spread pie filling evenly in the bottom of a greased 9x13 inch pan.**In a large bowl stir together flour, sugar, cocoa, baking soda, and salt.**In another bowl combine water, oil, vinegar, and vanilla. Add these liquid ingredients to the flour mixture all at once.  Stir until just moistened.  Pour the batter evenly over the cherry pie filling.**Bake in a preheated 350 degrees F ( 175 degrees C) oven for 30 to 35 minutes.**Let cake cool for 10 minutes in pan then invert cake onto a serving dish and continue to cool.**",4
7295,Chocolate Pound Cake I Recipe ,"white sugar,butter,shortening,flour,egg,baking powder,salt,cocoa powder,milk,vanilla","Preheat oven to 300 degrees F (150 degrees C).**Cream together butter or  margarine, shortening, and sugar.  Add the eggs, vanilla, and salt mixing batter until light and creamy.**Add 1cup flour and the baking powder to egg butter mixture. Stir until just combined. Then add 1/2 cup milk stirring until combined.  Continue alternating flour and milk, ending with flour.**Stir in cocoa and mix well.  Place batter in a greased and floured tube pan that has been lined with greased and floured baking parchment paper.**Bake in a preheated 300 degrees F (150 degrees C) oven for 1 hour 30 minutes.**Cool cake in pan for 10 minutes.  Then remove cake from its pan and let cool on a wire rack.**",4
7296,Quick Black Forest Cake Recipe ,"cake,egg,almond,cherry,chocolate,butter,milk,sugar","'Preheat oven to 350 degrees F (175 degrees C).**Mix together: cake mix, beaten eggs, almond extract, cherry pie filling and 1 cup semisweet chocolate chips. Stir until just combined.  Pour batter into a greased 9x13 inch pan.**Bake in a 350 degree F (175 degree C) oven for 45 to 50 minutes or until a toothpick inserted in the center comes out clean.  Remove cake from oven and let cool.**To Make Glaze: Heat 1/2 cup semisweet chocolate chips, butter or margarine, and milk in a saucepan over medium high heat.  Once  semisweet chocolate chips are melted and mixture is combined stir in confectioners'' sugar.**Spread glaze over cooled cake. Serve cake as is or with whipped cream and a cherry.**'",5
7297,Carrot Cake I Recipe ,"carrot,egg,vegetable oil,white sugar,flour,baking powder,baking soda,cinnamon,salt,nutmeg,raisin,sugar,cream cheese,corn syrup,vanilla","'Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds.**Sift together flour, baking powder, baking soda, salt and spices. Add the carrots and raisins. Pour egg mixture into dry ingredients, and mix well.**Pour batter into well greased 10 inch tube or bundt pan. Bake at 350 degrees F (175 degrees C) oven for 60 to 70 minutes. Cool cake on wire rack, and then refrigerate until completely cooled.**To make Cream Cheese Glaze:  Blend together confectioners'' sugar, cream cheese, corn syrup, and vanilla. Spread over cooled cake.**'",5
7299,Pineapple Cake I Recipe ,"cake,pineapple,egg","Preheat oven to 350 degrees F (175 degrees C). Spray a 9 x 13 inch pan with non-stick cooking spray.**Combine cake mix, pineapple (with juice), and eggs until well-mixed.**Pour into pan, and bake 30-35 minutes.**",4
7303,Butter Pound Cake Recipe ,"butter,egg,white sugar,flour,whipping cream,vanilla,lemon","Preheat oven to 325 degrees F (165 degrees C). Grease and flour one 9 or 10 inch tube pan.**With an electric mixer, cream butter and sugar until fluffy. Add eggs, one at a time and mix well.**Introduce the flour, one cup at a time while adding cream a little at a time until all flour and cream is mixed in well.**Add the vanilla and lemon flavoring and blend well. Pour batter into prepared pan.**Bake at 325 degrees F (165 degrees C) for 1-1/2 hours or until center springs back from small amount of pressure. Immediately turn out on cake rack to cool.**",4
7304,Eclair Cake Recipe ,"vanilla,topping thawed,milk,ham,chocolate","In a medium bowl, thoroughly blend the pudding mix, whipped topping, and milk.**Arrange a single layer of graham cracker squares in the bottom of a 13x9 inch baking pan. Evenly spread half of the pudding mixture over the crackers. Top with another layer of crackers and the remaining pudding mixture. Top with a final layer of graham crackers.**Spread the frosting over the whole cake up to the edges of the pan. Cover, and chill at least 4 hours before serving.**",5
7306,Surprise Banana Cake Recipe ,"white sugar,butter,egg,banana,flour,baking soda,salt,walnut,vanilla","Preheat oven to 375 degrees F (190 degrees C).  Grease and flour one 9 x 13 inch cake pan.**Cream together the butter or margarine and the sugar.**Add eggs, bananas, flour, soda, salt, nuts, and vanilla.  Mix thoroughly and pour batter into the  prepared pan.**Bake at 375 degrees F (190 degrees C) for 30 minutes.  Cool and frost cake.**",5
7307,Mini Cheesecakes I Recipe ,"vanilla,cream cheese,white sugar,egg,vanilla,cherry","Preheat oven to 350 degrees F (175 degrees C).  Line miniature muffin tins (tassie pans) with miniature paper liners.**Crush the vanilla wafers, and place 1/2 teaspoon of the crushed vanilla wafers into each paper cup.**In a mixing bowl, beat cream cheese, sugar, eggs and vanilla until light and fluffy.  Fill each miniature muffin liner with this mixture, almost to the top.**Bake for 15 minutes.  Cool.  Top with a teaspoonful of cherry pie filling.**",5
7312,Chocolate Cake I Recipe ,"milk,chocolate,white sugar,egg,sour cream,baking soda,water,flour,butter","Preheat oven to 350 degree F (175 degrees C). Grease and flour one 9 x 13 inch pan.**Grate the chocolate. In a small saucepan, boil the milk and chocolate until mixture forms a custard.**Cream the butter or margarine and sugar.  Add eggs and sour cream to the creamed mixture.**Dissolve the baking soda in water, and add to the creamed mixture. Add the flour, and mix thoroughly. Add the chocolate mixture and beat well. Pour into a greased and floured 9x13 inch pan.**Bake at 350 degrees F (175 degrees C) for 40 minutes to one hour.**",4
7315,Orange Sponge Cake Recipe ,"egg,white sugar,orange,flour,baking powder,orange juice","Preheat oven to 325 degrees F (165 degrees C).  Grease and flour one 9 inch round pan.**Separate the eggs while cold, then bring to room temperature.**Beat egg yolks, sugar and grated orange rind until light and fluffy.  Mix flour and baking powder together.  Alternately add flour mixture and orange juice to the egg yolk mixture.**In a separate large CLEAN bowl, with a CLEAN whisk or beaters, beat egg whites to stiff peaks, and fold into batter.**Pour batter into prepared pan and bake at 325 degrees F (165 degrees C) for 50 to 60 minutes.**",4
7320,Coconut Pound Cake Recipe ,"white sugar,butter,egg,flour,baking powder,milk,coconut,coconut,white sugar,water,coconut,walnut","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10 inch tube pan.**In a large bowl, cream together 2 cups sugar and the butter. Fold in the eggs one at a time, fully incorporating each one before adding another.**In separate bowl, mix the flour, baking powder, milk, flaked coconut, and 1 teaspoon coconut extract. Beat into the creamed mixture. Pour the batter into the prepared pan.**Bake 1 hour in the preheated oven, or until a knife inserted in the center comes out clean. Cool on a wire rack for just a few minutes, then place on cake platter.**To make the glaze, mix together in a small saucepan 1 cup sugar, water, 1 teaspoon coconut extract, and walnuts. Boil for 1 minute, and pour over still warm cake.**",4
7322,Favorite Old Fashioned Gingerbread Recipe ,"white sugar,butter,egg,molasses,flour,baking soda,cinnamon,ginger,clove,salt,water","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9-inch square pan.**In a large bowl, cream together the sugar and butter. Beat in the egg, and mix in the molasses.**In a bowl, sift together the flour, baking soda, salt, cinnamon, ginger, and cloves. Blend into the creamed mixture. Stir in the hot water. Pour into the prepared pan.**Bake 1 hour in the preheated oven, until a knife inserted in the center comes out clean. Allow to cool in pan before serving.**",4
